Sample ID	Lane	Pairs Aligned (x10^6)	Pairs Aligned (%)	Valid Pairs (x10^6)	Valid Pairs (%)	Unique Reads (x10^6)	% Duplicates	Pairs Passing All Filters (%)
PCa13266	1	2	58.40	1.9	97.40	1.9	0.80	56.40
PCa13266	2	1.9	57.90	1.8	97.30	1.8	0.80	55.90
PCa13266	3	1.8	56.40	1.8	97.30	1.8	0.50	54.60
PCa13266	4	1.8	56.10	1.7	97.20	1.7	0.50	54.30
PCa13848	1	1.4	60.90	1.3	95.70	1.3	0.80	57.80
PCa13848	2	1.3	60.60	1.3	95.60	1.3	0.80	57.50
PCa13848	3	1.3	59.10	1.2	95.50	1.2	0.50	56.20
PCa13848	4	1.2	59.10	1.2	95.50	1.2	0.50	56.10
PCa14121	1	2	60.70	2	98.90	2	0.80	59.50
PCa14121	2	2	60.70	1.9	98.90	1.9	0.80	59.50
PCa14121	3	1.9	59.30	1.9	98.80	1.9	0.50	58.20
PCa14121	4	1.9	59.40	1.8	98.80	1.8	0.60	58.30
PCa19121	1	2	60.90	2	98.70	2	0.80	59.60
PCa19121	2	2	60.80	1.9	98.70	1.9	0.80	59.50
PCa19121	3	1.9	59.30	1.9	98.60	1.9	0.50	58.20
PCa19121	4	1.8	59.50	1.8	98.60	1.8	0.60	58.30
PCa3023	1	1.7	61.40	1.7	98.40	1.7	0.80	59.90
PCa3023	2	1.6	61.20	1.6	98.30	1.6	0.80	59.80
PCa3023	3	1.6	59.60	1.5	98.30	1.5	0.50	58.30
PCa3023	4	1.5	59.70	1.5	98.30	1.5	0.50	58.40
PCa33173	1	2	62.10	2	98.90	2	0.80	60.90
PCa33173	2	2	61.90	1.9	98.90	1.9	0.80	60.60
PCa33173	3	1.9	60.40	1.9	98.80	1.9	0.50	59.30
PCa33173	4	1.8	60.30	1.8	98.80	1.8	0.50	59.30
PCa40507	1	1.9	57.90	1.6	84.80	1.6	0.80	48.60
PCa40507	2	1.8	57.60	1.5	84.60	1.5	0.80	48.30
PCa40507	3	1.7	56.10	1.5	84.50	1.5	0.50	47.20
PCa40507	4	1.7	56.10	1.4	84.30	1.4	0.50	47.10
PCa51852	1	2.2	60.00	2.1	94.20	2.1	0.80	56.10
PCa51852	2	2.2	59.90	2	94.20	2	0.80	56.00
PCa51852	3	2.1	58.30	2	94.10	1.9	0.50	54.60
PCa51852	4	2	58.50	1.9	94.00	1.9	0.50	54.70
PCa53687	1	2	62.60	1.6	83.10	1.6	0.80	51.60
PCa53687	2	1.9	62.40	1.6	83.00	1.5	0.80	51.40
PCa53687	3	1.8	61.20	1.5	82.80	1.5	0.50	50.40
PCa53687	4	1.8	61.30	1.5	82.70	1.4	0.50	50.40
PCa56413	1	1.6	61.60	1.6	98.90	1.6	0.80	60.50
PCa56413	2	1.5	61.50	1.5	98.90	1.5	0.80	60.40
PCa56413	3	1.5	59.90	1.5	98.90	1.5	0.50	58.90
PCa56413	4	1.4	59.90	1.4	98.90	1.4	0.60	58.90
PCa57054	1	2.5	62.40	2.4	97.30	2.4	0.90	60.20
PCa57054	2	2.4	62.10	2.3	97.20	2.3	0.90	59.80
PCa57054	3	2.3	60.60	2.2	97.20	2.2	0.60	58.50
PCa57054	4	2.2	60.40	2.1	97.10	2.1	0.60	58.30
PCa57294	1	2.2	62.20	2.2	98.90	2.2	0.90	61.00
PCa57294	2	2.1	62.10	2.1	98.90	2.1	0.80	60.90
PCa57294	3	2.1	60.80	2.1	98.80	2	0.60	59.70
PCa57294	4	2	60.80	2	98.80	2	0.60	59.70
PCa58215	1	1.8	61.70	1.8	98.40	1.8	0.80	60.10
PCa58215	2	1.7	61.60	1.7	98.30	1.7	0.80	60.10
PCa58215	3	1.7	60.10	1.7	98.30	1.7	0.60	58.80
PCa58215	4	1.6	60.20	1.6	98.30	1.6	0.60	58.80
