File	Read_pairs_processed	Unique_di-tags	Cis_<10kbp_of_uniques	Cis_>10kbp_of_uniques	Trans_of_uniques
PCa33173_L003_R1_2.filt.bam	160962374	139738125	3616689	73015626	63105810
PCa14121_L002_R1_2.filt.bam	159226144	136125987	1873031	45896256	88356700
PCa19121_L003_R1_2.filt.bam	113886813	100041606	1972431	41175987	56893188
PCa40507_L001_R1_2.filt.bam	117381522	100139313	1628479	36796688	61714146
PCa13266_L001_R1_2.filt.bam	172601787	149138816	2794840	59128260	87215716
PCa13848_L002_R1_2.filt.bam	101083188	90093327	3821759	44621484	41650084
PCa57294_L001_R1_2.filt.bam	158199297	134191419	2178176	55337948	76675295
PCa51852_L003_R1_2.filt.bam	178631211	154607879	2003559	50285460	102318860
PCa13266_L003_R1_2.filt.bam	166550206	143817917	2696321	57064357	84057239
PCa57054_L003_R1_2.filt.bam	195222421	160478279	3289185	63754424	93434670
PCa53687_L001_R1_2.filt.bam	112310652	98443925	2387828	39824630	56231467
PCa14121_L004_R1_2.filt.bam	156656877	134036960	1847083	45230554	86959323
PCa56413_L001_R1_2.filt.bam	134331815	115034290	2679049	50799214	61556027
PCa40507_L003_R1_2.filt.bam	114028638	97072686	1580462	35670637	59821587
PCa3023_L003_R1_2.filt.bam	114722204	100921969	2531060	44662066	53728843
PCa3023_L001_R1_2.filt.bam	118504687	104384546	2614644	46178680	55591222
PCa56413_L004_R1_2.filt.bam	131567315	112564892	2618676	49700243	60245973
PCa19121_L002_R1_2.filt.bam	117407756	103156068	2031438	42328581	58796049
PCa40507_L002_R1_2.filt.bam	116891035	99521082	1619485	36499081	61402516
PCa3023_L002_R1_2.filt.bam	118726543	104408111	2612323	46088094	55707694
PCa58215_L001_R1_2.filt.bam	127671141	111035392	2715893	49060483	59259016
PCa57054_L002_R1_2.filt.bam	201192791	165063343	3376129	65452738	96234476
PCa13266_L004_R1_2.filt.bam	168820235	145762441	2732547	57764565	85265329
PCa57294_L002_R1_2.filt.bam	157983043	133707603	2166816	55052545	76488242
PCa51852_L004_R1_2.filt.bam	181081373	156704591	2034192	50940575	103729824
PCa51852_L002_R1_2.filt.bam	184192172	159264447	2062990	51700721	105500736
PCa56413_L002_R1_2.filt.bam	133564203	114229078	2655365	50384775	61188938
PCa14121_L001_R1_2.filt.bam	160472148	137329803	1888184	46351733	89089886
PCa13266_L002_R1_2.filt.bam	171695490	148124902	2773170	58609656	86742076
PCa3023_L004_R1_2.filt.bam	116265300	102316365	2566751	45232388	54517226
PCa33173_L002_R1_2.filt.bam	166244970	144200617	3725207	75128529	65346881
PCa13848_L004_R1_2.filt.bam	98733327	88106970	3746172	43729057	40631741
PCa53687_L003_R1_2.filt.bam	108664467	95124037	2307592	38476091	54340354
PCa57294_L003_R1_2.filt.bam	154578691	130762031	2118162	53909205	74734664
PCa58215_L004_R1_2.filt.bam	125545700	109030187	2670122	48150933	58209132
PCa13848_L003_R1_2.filt.bam	97276608	86719443	3700279	43111958	39907206
PCa51852_L001_R1_2.filt.bam	185240071	160377260	2079118	52184014	106114128
PCa58215_L003_R1_2.filt.bam	124364401	107939448	2643047	47703743	57592658
PCa57054_L004_R1_2.filt.bam	198126429	162741793	3334329	64604407	94803057
PCa40507_L004_R1_2.filt.bam	115103658	98060297	1600050	36008378	60451869
PCa53687_L004_R1_2.filt.bam	110202748	96486212	2340808	39005473	55139931
PCa13848_L001_R1_2.filt.bam	100364145	89699054	3812642	44535524	41350888
PCa53687_L002_R1_2.filt.bam	112400376	98325486	2383727	39700681	56241078
PCa56413_L003_R1_2.filt.bam	129965672	111185008	2591299	49125946	59467763
PCa19121_L001_R1_2.filt.bam	117334287	103289461	2036582	42514080	58738799
PCa58215_L002_R1_2.filt.bam	127900877	110980366	2710232	48947364	59322770
PCa19121_L004_R1_2.filt.bam	115352133	101390054	2001089	41692222	57696743
PCa14121_L003_R1_2.filt.bam	154475551	132259784	1819428	44629590	85810766
PCa33173_L001_R1_2.filt.bam	166600160	144774360	3743976	75604672	65425712
PCa57054_L001_R1_2.filt.bam	203031692	166583660	3415369	66156710	97011581
PCa57294_L004_R1_2.filt.bam	155625779	131793748	2136434	54320976	75336338
PCa33173_L004_R1_2.filt.bam	163269007	141785500	3670808	73996906	64117786
